"","date","open","high","low","close","volume","adjusted"
"99",2016-10-19,12.21,12.36,12.21,12.31,31100,12.31
"100",2016-10-20,12.3,12.55,12.3,12.46,21300,12.46
"101",2016-10-21,12.46,13.66,12.46,13.6,50200,13.6
"102",2016-10-24,13.58,13.58,13.04,13.4,18300,13.4
"103",2016-10-25,13.32,13.58,12.54,13.5,37300,13.5
"104",2016-10-26,13.43,13.63,12.75,13.57,16300,13.57
"105",2016-10-27,13.54,13.62,12.95,13.24,44100,13.24
"106",2016-10-28,13.27,13.77,13.11,13.12,13300,13.12
"107",2016-10-31,13.15,13.23,13.01,13.11,12100,13.11
"108",2016-11-01,13.16,13.38,12.88,13.05,16500,13.05
"109",2016-11-02,13.41,14.14,13.41,13.95,56600,13.95
"110",2016-11-03,14.2,14.96,14.2,14.58,65500,14.58
"111",2016-11-04,14.58,14.66,13.7,13.71,50300,13.71
"112",2016-11-07,13.92,14.5,13.9,14.09,21900,14.09
"113",2016-11-08,14.2,14.32,13.76,14.22,31100,14.22
"114",2016-11-09,14.2,15.65,14.2,15.56,86200,15.56
"115",2016-11-10,15.61,16.09,15.26,16.059999,73100,16.059999
"116",2016-11-11,16.29,17.24,16.07,17.200001,85300,17.200001
"117",2016-11-14,17.29,17.51,16.88,17.16,154800,17.16
"118",2016-11-15,17.33,17.35,16.52,16.969999,51900,16.969999
"119",2016-11-16,16.85,17.39,16.06,16.25,57100,16.25
"120",2016-11-17,16.34,17.2,14.68,16.83,87200,16.83
"121",2016-11-18,16.85,17.02,16.16,17,29500,17
"122",2016-11-21,17,17,16.05,16.860001,26000,16.860001
"123",2016-11-22,16.96,18.23,16.96,18.200001,113000,18.200001
"124",2016-11-23,18.08,18.3,17.5,17.93,133900,17.93
"125",2016-11-25,17.85,18.8,17.58,18.77,28800,18.77
"126",2016-11-28,18.5,18.9,17.85,18.57,77100,18.57
"127",2016-11-29,18.32,18.92,18,18.4,63200,18.4
"128",2016-11-30,18.57,18.57,17.23,17.52,56400,17.52
"129",2016-12-01,17.69,18.42,17.69,18.139999,69900,18.139999
"130",2016-12-02,18.17,18.51,18.17,18.42,29500,18.42
"131",2016-12-05,18.5,18.5,18.11,18.17,52900,18.17
"132",2016-12-06,18.17,18.3,18.15,18.219999,46100,18.219999
"133",2016-12-07,18.16,18.5,18.16,18.299999,63900,18.299999
"134",2016-12-08,18.26,18.45,18.05,18.219999,45600,18.219999
"135",2016-12-09,18.09,18.29,17.43,18.110001,103600,18.110001
"136",2016-12-12,17.91,18.21,17.6,18.08,82200,18.08
"137",2016-12-13,17.86,18.35,15.34,15.51,358200,15.51
"138",2016-12-14,15.53,15.77,14.3,15.06,391400,15.06
